Publisher,Vendor,Also Tag,
Pushkin Press Classics,Penguin Random House,,
Pushkin Vertigo,Penguin Random House,,
Quadrille Publishing,Penguin Random House,,
Quarry Books,Ingram,keepingram,
Quercus Publishing,Penguin Random House,,
Quest Books (IL),Red Wheel/Weiser,,
Quill & Crow Publishing House,Ingram,keepingram,
Quill Tree Books,HarperCollins,,
Quirk Books,Penguin Random House,,
Quoir,Ingram,keepingram,
Rabsel Publications,IPG,,
Racehorse for Young Readers,Simon & Schuster,,
Race Point Publishing,Hachette,,
Ragnarok Publiations,IPG,,
Rainmaker Publishing,Ingram,keepingram,
Random House,Penguin Random House,,
Random House Books for Young Readers,Penguin Random House,,
Random House Studio,Penguin Random House,,
Random House Trade,Penguin Random House,,
Random House Worlds,Penguin Random House,,
Rare Bird Books,IPS,keepips,
Raw Dog Screaming Press,Ingram,keepingram,
Rayo,HarperCollins,,
Razorbill,Penguin Random House,,
Reagan Arthur Books,Hachette,,
Reaktion Books,Ingram,keepingram,
Rebel Girls,Ingram,keepingram,
Rebellion,Simon & Schuster,,
Rebellion Publishing,Simon & Schuster,,
Red 5 Premium,Simon & Schuster,,
Red Tower Books,Macmillan,,
Redford Wilkins Publishing,Ingram,keepingram,
Redhook,Hachette,,
Reedy Press,Ingram,keepingram,
Reel Art Press,DAP-Artbook or IPS,,
Regalo Press,Simon & Schuster,,
Regnery Faith,Simon & Schuster,,
Rejected Publishing Guild,Ingram,keepingram,
Repeater,Penguin Random House,,
Resonant Earth Publishing,Ingram,keepingram,
Restless Books,IPS,keepips,
Retrofuture Products LLC,Ingram,keepingram,
Reycraft Books,Ingram,keepingram,
Rick Riordan Presents,Penguin Random House,,
Rick Steves,Hachette,,
Ripley Publishing,Simon & Schuster,,
"Rising Action Publishing, blackstone",Ingram,keepingram,
Riverdale Avenue Books,Ingram,keepingram,
Riverhead Books,Penguin Random House,,
Rizzoli Electa,Penguin Random House,,
Rizzoli International Publications,Penguin Random House,,
Rlpg/Galleys,Ingram-PI,keepingram,
Roaring Brook Press,Macmillan,,
Robinson Press,Hachette,,
Roca,Penguin Random House,,
Rock Point,Hachette,,
Rocketship Entertainment,Simon & Schuster,,
Rockport Publishers,Ingram,keepingram,
Rockridge Press,,,
Rocky Pond Books,Penguin Random House,,
Rodale Books,Penguin Random House,,
Rose & Moth Books,Ingram,keepingram,
Rosedog Books,Ingram,keepingram,
Rough House Publishing LLC,Ingram,keepingram,
Roundtree Press,Ingram,,
Row House Publishing,Simon & Schuster,,
Rowman & Littlefield Publishers,National Book Network,,
RP Minis,Hachette,,
RP Studio,Hachette,,
Running Press Adult,Hachette,,
Running Wild Press,IPG,ingram,
Rutgers University Press,Ingram,keepingram,
Ryland Peters & Small,Simon & Schuster,,
S&S/ Marysue Rucci Books,Simon & Schuster,,
S&S/Saga Press,Simon & Schuster,,
S&S/Simon Element,Simon & Schuster,,
Salamandra Infantil Y Juvenil,Penguin Random House,,
Salem Books,Ingram,keepingram,
Sandstone Press Ltd,Casemate,noingram,
Schiffer Publishing,Schiffer,,
Schiffer Craft,Schiffer,,
Schirmer Trade Books,IPS,keepips,
Schism Press,Ingram,keepingram,
Scholastic Inc.,Ingram,keepingram,
Scholastic Press,Ingram,keepingram,
Scott Nathan Omnimedia,Ingram,keepingram,
Scout Comics,Simon & Schuster,,
Scribner Book Company,Simon & Schuster,,
SD Publishing LLC,Ingram,keepingram,
Seagull Books,Ingram,keepingram,
Seal Press (CA),Hachette,,
Selfmadehero,Abrams,,
Seltmann Publishers Gmbh,National Book Network,,
Semiotext(e),Penguin Random House,,
Semsoli,Ingram,keepingram,
Sentinel,Penguin Random House,,
Seven Seas,Penguin Random House,,
Seven Seas Entertainment,Penguin Random House,,
Seven Stories Press,Penguin Random House,,
Severed Press,Ingram-PI,,
Sf/For the Culture,Ingram-PI,,
Shacklebound Books,Ingram-PI,,
Shadow Mountain,Ingram,keepingram,
Shambhala,Penguin Random House,,
Shawline Publishing Group,Ingram,keepingram,
Shortwave Media,Ingram,keepingram,
Siete Cuentos Editorial,Penguin Random House,,
Signet Book,Penguin Random House,,
Silver Sprocket,SCB,ingram,
Simon & Schuster,Simon & Schuster,,
Simon & Schuster Books for Young Readers,Simon & Schuster,,
Simon Element / Simon Acumen,Simon & Schuster,,
Sirius Entertainment,Baker & Taylor Publishing Services,ingram,
Skybound Books,Simon & Schuster,,
Skyhorse Publishing,Simon & Schuster,,
Smart Pop,Penguin Random House,,To change to Simon & Schuster in Jan 2025
Smith Street Books,Penguin Random House,,
Smithsonian Books,Penguin Random House,,
Snuggly Books,Ingram,keepingram,
Soft Skull,Penguin Random House,,
Soho Crime,Penguin Random House,,
Soho Press,Penguin Random House,,
Solaris,Simon & Schuster,,
Sona Books,IPG,ingram,
Sophia Institute Press,Ingram,keepingram,
Sounds True,Macmillan,,
Sourcebooks,Penguin Random House,,
Sourcebooks Casablanca,Penguin Random House,,
Sourcebooks Fire,Penguin Random House,,
Sourcebooks Landmark,Penguin Random House,,
South of Heaven Press,Ingram,keepingram,
Space Cowboy Books,Ingram,keepingram,
Spaceboy Books LLC,Ingram,keepingram,
Sparkpress,Simon & Schuster,,
Speak,Penguin Random House,,
Spectra Books,Penguin Random House,,
Square Enix,Penguin Random House,,
Square Enix Manga,Penguin Random House,,
Square Fish,Macmillan,,
Square Peg,IPG,,
St. Asinus Publishing,Ingram-PI,,
St. Martin's Essentials,Macmillan,,
St. Martin's Griffin,Macmillan,,
St. Martin's Press,Macmillan,,
St. Martins Press-3PL,Macmillan,,
Star Trek,Simon & Schuster,,
Stark House Press,Ingram,keepingram,
Starscape,Macmillan,,
Steerforth Press,Penguin Random House,,
"Stephanie Edens, LLC",Ingram,keepingram,
Stephanie Sparks,Ingram-PI,,
Sterling and Stone,Ingram-PI,,
Sterling Ethos,Ingram,keepingram,
Strange Attractor Press,Penguin Random House,,
Strange Light,Penguin Random House,,
Strange Wilds Press,Ingram,keepingram,
Storey Publishing,Hachette,,
Storm King Productions,Diamond,,
Strange Elf Press,Ingram,keepingram,
Strange Violin Editions,Ingram,keepingram,
Sublation Media,Ingram,keepingram,
Subplot,Ingram,keepingram,
Subterranean Press,Ingram,keepingram,
Suma,Penguin Random House,,
Summersdale,Hachette,,
Swan River Press,Ingram,keepingram,
Swedenborg Foundation,Ingram,keepingram,
Swoon Reads,Macmillan,,
Sword Lady Books,Ingram,,
Tachyon Publications,Baker & Taylor Publishing Services,ingram,
Taffety Punk Theatre Company,Ingram,keepingram,
Tan Books,Ingram,keepingram,
Tarcherperigree,Penguin Random House,,
Tate Publishing(UK),Abrams,,
Te Neues Publishing Company,IPS,keepips,
Ten Speed Graphic,Penguin Random House,,
Ten Speed Press,Penguin Random House,,
Tenebrous Press,Ingram,keepingram,
Thames & Hudson,Norton,,
Thesis,Penguin Random House,,
Thin Leaf Print,Ingram,keepingram,
Third Editions,SCB,,
Thomas & Mercer,Ingram,keepingram,
Thomas Dunne Books,Macmillan,,
Thomas E Deady,Ingram,keepingram,
Thomas Nelson,HarperCollins,,
Three Rooms Press,Ingram,,
Threshold Editions,Simon & Schuster,,
Thunder Bay Press,Simon & Schuster,,
Timber Press (OR),Hachette,,
Times Books,Macmillan,,
Tin House Books,Norton,,
Tiny Reparations Books,Penguin Random House,,
Titan Books (UK),Penguin Random House,,
Titan Comics,Penguin Random House,,
Tokyopop,Penguin Random House,,
Toon Books,Penguin Random House,,
Top Shelf Productions,Penguin Random House,,
Tor Books,Macmillan,,
Tor MM,Macmillan,,
Tor Nightfire,Macmillan,,
Tordotcom,Macmillan,,
Touchstone Books,Simon & Schuster,,
Tra Publishing,Simon & Schuster,,
Trafalgar Square,Macmillan,,
Transit Books,IPS,keepips,
Transworld,IPG,keepingram,
Trepidatio Publishing,Ingram,keepingram,
Trineday Fiction,IPG,,
Trouser Press Books,Ingram,keepingram,
Truborn Press,Ingram,keepingram,
Truman Talley Books,Macmillan,,
Tundra Books (NY),Penguin Random House,,
Turner,IPS,keepips,
Tuttle,IPS,keepips,
Twelve,Hachette,,
Twirl,Hachette,,
Twisted Spoon Press,SCB,,
Two Morrows Publishing,Ingram,keepingram,
Two Small Smudges,Ingram,keepingram,
Tyndale Elevate,Ingram,keepingram,
Tyndale House Publishers,Ingram,keepingram,
Tyndale Momentum,Ingram,keepingram,
Udon Entertainment,Diamond,ingram,
Ulysses Press,Simon & Schuster,,
Underland Press,Ingram,keepingram,
Undertow Publications,Ingram-PI,,
Unicorn Publishing Group,Ingram,keepingram,
Union Square & Co.,Ingram,keepingram,
Union Square Kids,Ingram,keepingram,
Universe Publishing(NY),Penguin Random House,,
University Press of Florida,Ingram,keepingram,
University of Chicago Press,Ingram,keepingram,
University of Michigan Press,Ingram,keepingram,
University of Minnesota Press,Ingram,keepingram,
University of Nebraska Press,Ingram,keepingram,
University of New Orleans Press,Ingram,keepingram,
University of North Carolina Press,Ingram,keepingram,
University of Texas Press,Ingram,keepingram,
University Press of Florida,Ingram,keepingram,
Urano World,Ingram,keepingram,
Urbanomic,Penguin Random House,,
Urbanomic/Sequence Press,Penguin Random House,,
US Naval Institute Press,Ingram,keepingram,
Valiant Entertainment LLC,Diamond,,
Vanguard Press,Hachette,,
Vanishing Edge Press,Ingram,keepingram,
Vault Comics,Simon & Schuster,,
Vegetarian Alcoholic Press,Ingram,keepingram,
Velocity Press,SCB,,
Vermilion,Penguin Random House,,
Versify,HarperCollins,,
Verso,Penguin Random House,,
Verso Fiction,Penguin Random House,,
Vertical,Penguin Random House,,
Vertical Comics,Penguin Random House,,
Vertigo,Penguin Random House,,
Vertvolta Press,Ingram,keepingram,
Victionary,IPS,keepips,
Victoria & Albert Museum,Ingram,keepingram,
Victorious,Ingram,keepingram,
Vida Publishers,HarperCollins,,
Viking,Penguin Random House,,
Viking Books for Young Readers,Penguin Random House,,
Vintage,Penguin Random House,,
Vintage Books,Penguin Random House,,
Vintage Classics,IPG,,
Vintage Crime/Black Lizard,Penguin Random House,,
Vintage Espanol,Penguin Random House,,
Virago Press (UK),Hachette,,
Viva Editions,Simon & Schuster,,
Viz Media,Simon & Schuster,,
Voracious,Hachette,,
Voyager,HarperCollins,,
W by Wattpad Books,Macmillan,,
W. W. Norton & Company,Norton,,
Wakefield Press,DAP-Artbook or IPS,keepips,
War Room Books,Simon & Schuster,,
Warbler Press,Ingram,keepingram,
Warhammer Horror,Simon & Schuster,,
Washington Square Press,Simon & Schuster,,
Waterbrook Press,Penguin Random House,,
Watkins Publishing,Penguin Random House,,
Wattpad Books,Macmillan,,
Wayne State University Press,Ingram,keepingram,
Webtoon Unscrolled,Macmillan,,
Wednesday Books,Macmillan,,
Weirdpunk Books,Ingram-PI,,
Weiser Books,Red Wheel/Weiser,,
Welbeck Publishing,IPS,keepips,
Weldon Owen,Simon & Schuster,,
Wellfleet Press,Ingram,keepingram,
Wesleyan University Press,Ingram,keepingram,
Whitaker House,Ingram,keepingram,
White Lion Publishing,Hachette,,
White Rabbit,Hachette,,
White Star Publishers,Ingram,keepingram,
Wildfire,Hachette,,
Wiley,Ingram-PI,,
Wiley-Blackwell,Ingram,keepingram,
William B. Eerdmans Publishing Company,Ingram,keepingram,
William Collins,HarperCollins,,
William M Briggs,Ingram,keepingram,
William Morrow & Company,HarperCollins,,
Wings & Fangs Publishing,Ingram-PI,,
Wipf & Stock Publishers,Ingram,keepingram,
Wisconsin Historical Society Press,Ingram,keepingram,
Wisdom Publications,Simon & Schuster,,
Wizard Publications,Ingram,keepingram,
Wizards of the Coast,Ingram,keepingram,
Wonderfull Entertainment,Ingram,keepingram,
Word Horde,Ingram,keepingram,
Wordfire Press,Ingram,keepingram,
Wordsworth Editions,Ingram or Faire,keepingram,
Workman Publishing,Hachette,,
World Almanac Books,Simon & Schuster,,
World Weaver Press,Ingram,keepingram,
Worthy Books,Hachette,,
Wooden Books,Ingram,keepingram,
Write Bloody Publishing,Ingram,keepingram,
Writer's Digest Books,Penguin Random House,,
Writers of the Apocalypse,Ingram,keepingram,
Written Backwards,Ingram,keepingram,
Wtju Radio,Ingram,keepingram,
Wymer UK,Ingram-PI,,
Yale University Press,Ingram,keepingram,
Yearling Books,,,
Yen on,Hachette,,
Yen Press,Hachette,,
Z2 Comics,Simon & Schuster,,
Zephyr,Macmillan,,
Zondervan,HarperCollins,,
