Publisher,Vendor,Also Tag,
BMG Books,Ingram,keepingram,
Bold Type Books,Hachette,,
Bombardier Books,Simon & Schuster,,
Bookbaby,Ingram,keepingram,
Bookland Press,Ingram,keepingram,
Boom! Studios,Simon & Schuster,,
Bramble,Macmillan,,
Brazos Press,Ingram,keepingram,
BRF,Ingram,keepingram,
Bridge-Logos Publishers,Ingram,keepingram,
British Film Institute,Macmillan,,
British Library,IPG,ingram,
Broadleaf Books,Ingram,keepingram,
Broadside Books,HarperCollins,,
Broadview Press Inc,Broadview Press Inc,,
Broken Eye Books,Ingram,keepingram,
Buckman Publishing LLC,Ingram,keepingram,
Buckrider Books,Ingram,keepingram,
Bungie,Ingram,keepingram,
Burial Books LLC,Ingram,keepingram,
Burnham Inc Pub,Ingram,keepingram,
California Coldblood Books,Ingram,keepingram,
Calla Editions,Ingram,keepingram,
Callisto Kids,Ingram,keepingram,
Camcat Books,IPG,keepingram,
Cameron Books,Abrams,,
Canary Street Press,HarperCollins,,
Candlewick Press,Penguin Random House,,
Canterbury Classics,Simon & Schuster,,
Capstone Classics,Ingram,keepingram,
Carlton Books,IPS,keepips,
Cascade Books,Ingram,keepingram,
Cash Money Content,Ingram,keepingram,
Castle Bridge Media,Ingram,keepingram,
Castle Point Books,Macmillan,,
Catapult,Penguin Random House,,
Celadon Books,Macmillan,,
Cemetery Dance Publications,Ingram,keepingram,
Central Avenue Publishing,IPG,,
Centrala,,,
Cernunnos,Hachette-Abrams,,
Chaosium,Ingram,keepingram,
Charisma House,Ingram,keepingram,
Chartwell Books,Hachette,,
Chartwell Castle Books,Hachette,,
Checkmark Books,Ingram,keepingram,
Chelsea Green Publishing Company,Ingram,keepingram,
Chic Editorial,Ingram,keepingram,
Chicken House,,,
Chicago Review Press,IPG,,
Chiltern Publishing,IPS,keepips,
Chooseco,,,
Christian Faith,Ingram-PI,,
Christy Ottaviano Books,Hachette,,
Chronicle Books,Hachette-Chronicle,,
Chronicle Chroma,Hachette-Chronicle,,
Chronicle Prism,Hachette-Chronicle,,
Cider Mill Press,HarperCollins,,
Cinco Puntos Press,Ingram,keepingram,
Cinestate,Ingram,keepingram,
Citadel Press,Penguin Random House,,
Citadel Press Kensington Publishing Corp.,Penguin Random House,,
Clarion Books,HarperCollins,,
Clarkson Potter Publishers,Penguin Random House,,
Clash Books,Ingram-PI,,
Claudia Turner,Ingram,keepingram,
Cln Publishing LLC,Ingram,keepingram,
Clover Press,IPS,keepips,
Compendium Publishing & Communications,Ingram,keepingram,
Conecta,Ingram,keepingram,
Constable & Robinson,Hachette,,
Convergent Books,Penguin Random House,,
Corner House Publishing,Ingram,keepingram,
Cornerstone Press,Ingram,keepingram,
Coronet Books (GB),Hachette,,
Coronis Publishing,Ingram,keepingram,
Cosmic Horror Monthly LLC,Ingram,keepingram,
Counterpoint LLC,Penguin Random House,,
Countryman Press,Norton,,
Createspace Independent Publishing Platform,Ingram,keepingram,
Creation Oneiros,SCB,,
"Creature Publishing, LLC",Ingram,keepingram,
Creek Ridge Publishing,Ingram,keepingram,
Crime Ink,Norton,,
Crisis Publications,Ingram,keepingram,
Critical Editions,Norton,,
Crooked Lane Books,Penguin Random House,,
Crossroad Publishing Co.,Ingram,keepingram,
Crossway,Ingram,keepingram,
Crown Currency,Penguin Random House,,
Crown Publishing Group,Penguin Random House,,
Crown Publishing Group (NY),Penguin Random House,,
Crystal Lake Publishing,Ingram,keepingram,
Csrc Storytelling,Ingram,keepingram,
Curbstone Press,Ingram,keepingram,
